1;2;3
оборотно-сальдовая;Оборотно-сальдовая ведомость;1;
оборотно-сальдовую;Оборотно-сальдовая ведомость;1;
оборотку;Оборотно-сальдовая ведомость;1;
оборотка;Оборотно-сальдовая ведомость;1;
оборотно-сальдовая ведомость;Оборотно-сальдовая ведомость;1;
осв;Оборотно-сальдовая ведомость;1;
сальдовку;Оборотно-сальдовая ведомость;1;
отчет по всем счетам;Оборотно-сальдовая ведомость;1
сальдовка;Оборотно-сальдовая ведомость;1
оборотка по счету;Оборотно-сальдовая ведомость по счету;2
оборотку по счету;Оборотно-сальдовая ведомость по счету;2
оборотно-сальдовая ведомость по счету;Оборотно-сальдовая ведомость по счету;2
оборотно-сальдовая счет;Оборотно-сальдовая ведомость по счету;2
оборотно-сальдовая по счету;Оборотно-сальдовая ведомость по счету;2
осв счет;Оборотно-сальдовая ведомость по счету;2
оборотно-сальдовая счет;Оборотно-сальдовая ведомость по счету;2
журнал реализаций;Журнал реализаций;3
список реализаций;Журнал реализаций;3
журнал продаж;Журнал реализаций;3
журнал расходных накладных;Журнал реализаций;3
журнал счетов-фактур выданных;Журнал счетов-фактур выданных;4
счета-фактуры выданные показать;Журнал счетов-фактур выданных;4
список счетов-фактур выписанных;Журнал счетов-фактур выданных;4
список счетов-фактур выданных;Журнал счетов-фактур выданных;4
закрыть все окна;Закрыть все окна;5
убрать все окна;Закрыть все окна;5
закрыть все формы;Закрыть все окна;5
закрой окна;Закрыть все окна;5
закрыть все что открыто;Закрыть все окна;5
закрой окошки;Закрыть все окна;5
все захлопнуть;Закрыть все окна;5
закрыть окно;Закрыть окно;6
закрыть активное окно;Закрыть окно;6
закрыть это окно;Закрыть окно;6
открыть;Уточните команду;7
закрыть;Уточните команду;8
непонятно;Команда не распознана;9
журнал;Уточните команду;10
список;Уточните команду;11
счет;Уточните команду;12
журнал счетов;Журнал счетов;13
закрой;Уточните команду;14
закрыть все;Уточните команду;15
закрыть;Уточните команду;16
